text,rating,open,review_len,price,description,brief_des,attribute,location
Mr. Mamas,4.5,Closed Now,"1,693 reviews",$,"Local cuisine, American, Cafe, Diner, Vegetarian Friendly, Vegan Options", American Cafe Diner,"Vegetarian Friendly, Vegan Options, Gluten Free Options,Breakfast, Lunch, Brunch,American, Cafe, Diner,Takeout, Seating, Waitstaff, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Free Wifi","5693 S Jones Blvd Ste 106, Las Vegas, NV 89118-1965"
Le Thai,4.5,Open Now,853 reviews,$$ - $$$,,   Asian Thai Vegetarian Friendly,,"523 Fremont St, Las Vegas, NV 89101-5611"
Chin Chin,4.5,Open Now,"4,114 reviews",$$ - $$$,"Special occasions, Large groups, Business meetings",   Chinese Vegetarian Friendly Vegan Options,"$10 - $25,Vegetarian Friendly, Vegan Options, Gluten Free Options,Breakfast, Lunch, Dinner, Brunch, Drinks, Late Night,Chinese,Takeout, Seating, Waitstaff, Free Off-Street Parking, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Reservations, Television, Highchairs Available, Full Bar, Buffet, Accepts Credit Cards","3790 Las Vegas Blvd S New York-New York Hotel & Casino, Las Vegas, NV 89109-4338"
The Egg & I,4.5,Closed Now,"1,470 reviews",$,"Local cuisine, American, Vegetarian Friendly, Vegan Options", American Vegetarian Friendly Vegan Options,"$4 - $13,Vegetarian Friendly, Vegan Options, Gluten Free Options,Breakfast, Lunch, Brunch,American,Takeout, Outdoor Seating, Seating, Waitstaff, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Free Wifi, Free Off-Street Parking, Wine and Beer, Accepts Credit Cards","4533 West Sahara Avenue Suite 5, Las Vegas, NV 89102-3675"
107 Sky Lounge,4.5,Opens in 28 min,"1,201 reviews",$$ - $$$,"American, Bar, International, Vegetarian Friendly, Vegan Options",   American Bar International,"$15 - $30,Vegetarian Friendly, Vegan Options, Gluten Free Options,Dinner, Drinks,American, Bar, International,Seating, Waitstaff, Parking Available, Valet Parking, Free Off-Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Reservations, Accepts Credit Cards","2000 Las Vegas Blvd S Stratosphere Casino, Hotel & Tower, Las Vegas, NV 89104"
Weera Thai Restaurant,4.5,Open Now,515 reviews,$$ - $$$,"Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options",   Asian Thai Vegetarian Friendly,"$6 - $24,Vegetarian Friendly, Vegan Options, Gluten Free Options,Lunch, Dinner, Brunch,Asian, Thai,Television, Highchairs Available, Wheelchair Accessible, Free Wifi, Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available, Street Parking, Free Off-Street Parking, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards","3839 W Sahara Ave Suite 7-9, Las Vegas, NV 89102-0540"
Carson Kitchen,4.5,Open Now,790 reviews,$$ - $$$,"Local cuisine, American, Bar, Vegetarian Friendly, Vegan Options",   American Bar Vegetarian Friendly,"Vegetarian Friendly, Vegan Options, Gluten Free Options,Lunch, Dinner, Brunch, Late Night,American, Bar,Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar","124 S 6th St, Las Vegas, NV 89101-5700"
Italian American Club,4.5,Closed Now,255 reviews,$$ - $$$,"Local cuisine, Italian, Vegetarian Friendly, Vegan Options",   Italian Vegetarian Friendly Vegan Options,"Vegetarian Friendly, Vegan Options, Gluten Free Options,Dinner, Late Night,Italian,Reservations, Private Dining, Seating, Waitstaff, Parking Available, Television, Wheelchair Accessible, Serves Alcohol, Full Bar","2333 E Sahara Ave, Las Vegas, NV 89104-4110"
Oyster Bar at Palace Station,4.5,Open Now,349 reviews,$$ - $$$,"Local cuisine, American, Seafood, Soups",   American Seafood Soups,"Lunch, Dinner, Late Night,American, Seafood, Soups,Takeout, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar","2411 W Sahara Ave Palace Station Hotel & Casino, Las Vegas, NV 89102-4343"
"Joe's Seafood, Prime Steak & Stone Crab",4.5,Open Now,"4,438 reviews",$$$$,"Local cuisine, Steakhouse, American, Seafood, Vegetarian Friendly", Steakhouse American Seafood,"$20 - $100,Vegetarian Friendly, Gluten Free Options,Brunch, Lunch, Dinner,Steakhouse, American, Seafood,Takeout, Seating, Waitstaff, Parking Available, Valet Parking, Free Off-Street Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Reservations, Private Dining, Accepts Credit Cards","3500 Las Vegas Blvd. South C/O Forum Shops at Caesars, Las Vegas, NV 89109-8900"
